iter;num_air;num_per;cost_e;cost_h;cost_prop;time_e;time_h;time_prop;status_e;status_h
76;5;15;10571.1209;10571.1209;1;0.485300064;0.131808043;3.681869898;OPTIMAL;OPTIMAL
77;5;15;12732.37756;13002.37756;1.02120578;0.581209183;0.207295895;2.803766007;OPTIMAL;OPTIMAL
78;5;15;10210.6648;10210.6648;1;0.790377855;0.165128946;4.786428261;OPTIMAL;OPTIMAL
79;5;15;10163.25294;10163.25294;1;0.894324064;0.263859987;3.389388719;OPTIMAL;OPTIMAL
80;5;15;18264.1672;NA;NA;0.646709919;4.028612137;0.160529209;OPTIMAL;INFEASIBLE
81;5;15;12949.81564;13275.51515;1.0251509;1.658174038;0.184412003;8.99168175;OPTIMAL;OPTIMAL
82;5;15;16248.03;17698.03;1.089241588;0.991447926;0.482635021;2.054239502;OPTIMAL;OPTIMAL
83;5;15;12176.27879;12176.27879;1;0.546544075;0.432831049;1.262719198;OPTIMAL;OPTIMAL
84;5;15;12695.59373;12815.59373;1.009452098;0.584330082;0.200658083;2.912068496;OPTIMAL;OPTIMAL
85;5;15;9753.000754;9753.000754;1;0.53320694;0.3282969;1.624160752;OPTIMAL;OPTIMAL
86;5;15;9686.643616;9686.643616;1;0.565257072;0.171131849;3.303050103;OPTIMAL;OPTIMAL
87;5;15;8148.822479;8148.822479;1;0.676506042;0.181143999;3.734631265;OPTIMAL;OPTIMAL
88;5;15;9681.80114;9681.80114;1;0.689836979;0.211163044;3.266845211;OPTIMAL;OPTIMAL
89;5;15;9475.879477;9625.879477;1.015829665;0.524739027;0.207579851;2.527889986;OPTIMAL;OPTIMAL
90;5;15;17194.30378;18794.30378;1.093054073;0.604687929;1.009306908;0.599112049;OPTIMAL;OPTIMAL
91;5;15;8376.39783;8376.39783;1;0.564509869;0.136085987;4.148185134;OPTIMAL;OPTIMAL
92;5;15;15490.72384;NA;NA;0.475564003;0.12509799;3.801531926;OPTIMAL;INFEASIBLE
93;5;15;8483.512739;8483.512739;1;0.563210964;0.143635035;3.921125274;OPTIMAL;OPTIMAL
94;5;15;19364.13302;NA;NA;0.771835804;0.152112961;5.07409625;OPTIMAL;INFEASIBLE
95;5;15;8251.265272;8251.265272;1;0.476938963;0.21867013;2.181088763;OPTIMAL;OPTIMAL
96;5;15;6726.185601;6726.185601;1;0.621532917;0.243196011;2.555687141;OPTIMAL;OPTIMAL
97;5;15;15277.36664;15277.36664;1;0.587966919;0.208739996;2.816742983;OPTIMAL;OPTIMAL
98;5;15;14657.76983;NA;NA;2.316190958;3.289620161;0.704090699;OPTIMAL;INFEASIBLE
99;5;15;11628.33259;11688.33259;1.005159811;0.611521006;0.137103796;4.460277713;OPTIMAL;OPTIMAL
100;5;15;9623.495257;9623.495257;1;0.67839098;0.218188047;3.109203221;OPTIMAL;OPTIMAL
1;5;20;9988.638158;10108.63816;1.01201365;0.914935827;0.26326108;3.475393431;OPTIMAL;OPTIMAL
2;5;20;16629.3022;16629.3022;1;1.05340004;0.260233879;4.047897389;OPTIMAL;OPTIMAL
3;5;20;10871.79428;10871.79428;1;0.914978981;0.244187117;3.747040359;OPTIMAL;OPTIMAL
4;5;20;23443.83538;23653.83538;1.008957579;1.762628078;0.335277081;5.257228068;OPTIMAL;OPTIMAL
5;5;20;28076.43414;28076.43414;1;0.791759968;0.384186029;2.060876521;OPTIMAL;OPTIMAL
6;5;20;10103.93584;10103.93584;1;0.841102123;0.441367149;1.905674504;OPTIMAL;OPTIMAL
7;5;20;13911.99891;13911.99891;1;1.213782072;0.226151943;5.367108745;OPTIMAL;OPTIMAL
8;5;20;23233.85013;NA;NA;0.766562939;0.616123915;1.244170077;OPTIMAL;INFEASIBLE
9;5;20;31719.86908;83468.80366;2.631435945;1.369017839;0.246183872;5.560956642;OPTIMAL;OPTIMAL
10;5;20;17110.92018;17110.92018;1;0.87341404;0.265893221;3.284830041;OPTIMAL;OPTIMAL
11;5;20;7522.271823;7522.271823;1;1.169574022;0.309237003;3.782128302;OPTIMAL;OPTIMAL
12;5;20;13595.6068;13595.6068;1;1.072880983;0.475533009;2.256165112;OPTIMAL;OPTIMAL
13;5;20;13331.13357;13451.13357;1.009001485;0.858515978;0.508419037;1.688599198;OPTIMAL;OPTIMAL
14;5;20;49567.85644;49567.85644;1;0.835664988;0.201195002;4.153507696;OPTIMAL;OPTIMAL
15;5;20;18471.18193;18471.18193;1;1.052250147;0.217973948;4.827412445;OPTIMAL;OPTIMAL
16;5;20;8514.678762;8514.678762;1;0.955326796;0.275696039;3.465145159;OPTIMAL;OPTIMAL
17;5;20;30942.7041;30942.7041;1;1.070457935;0.266324043;4.01938151;OPTIMAL;OPTIMAL
18;5;20;5688.014429;5688.014429;1;0.893176079;0.43409586;2.057554937;OPTIMAL;OPTIMAL
19;5;20;15826.73613;15826.73613;1;0.856688023;0.301255941;2.843721583;OPTIMAL;OPTIMAL
20;5;20;11491.84098;11491.84098;1;0.943766117;0.229175091;4.118100767;OPTIMAL;OPTIMAL
21;5;20;13940.0854;13940.0854;1;1.1358459;0.323134184;3.515090499;OPTIMAL;OPTIMAL
22;5;20;9421.168288;9421.168288;1;1.002840042;0.46050787;2.177682746;OPTIMAL;OPTIMAL
23;5;20;8714.018685;8714.018685;1;0.918031931;0.499799013;1.836802208;OPTIMAL;OPTIMAL
24;5;20;14642.19665;14762.19665;1.008195492;1.048628092;0.487071991;2.152922178;OPTIMAL;OPTIMAL
25;5;20;16543.01885;16603.01885;1.003626908;0.859579086;0.388820887;2.210732797;OPTIMAL;OPTIMAL
26;5;20;12956.87455;13166.87455;1.016207612;0.972403049;0.256275892;3.794360214;OPTIMAL;OPTIMAL
27;5;20;15141.95419;16831.95419;1.111610429;0.740154982;0.246515036;3.002473986;OPTIMAL;OPTIMAL
28;5;20;8453.986518;8453.986518;1;0.920271158;0.382466078;2.406151059;OPTIMAL;OPTIMAL
29;5;20;6775.131035;6775.131035;1;0.748682976;0.30373621;2.464911826;OPTIMAL;OPTIMAL
30;5;20;12294.67744;12294.67744;1;1.010751963;0.449990034;2.246165217;OPTIMAL;OPTIMAL
31;5;20;9473.929672;9473.929672;1;0.998358965;0.241204023;4.139064312;OPTIMAL;OPTIMAL
32;5;20;10282.78525;10432.78525;1.014587487;0.967323065;0.315269947;3.06823747;OPTIMAL;OPTIMAL
33;5;20;8222.553916;8222.553916;1;0.916666031;0.32179594;2.848594142;OPTIMAL;OPTIMAL
34;5;20;7745.567714;7745.567714;1;0.919757843;0.230298042;3.99377187;OPTIMAL;OPTIMAL
35;5;20;6644.898502;6644.898502;1;0.819941998;0.45935297;1.784993351;OPTIMAL;OPTIMAL
36;5;20;33732.39259;NA;NA;2.004889011;4.959175825;0.404278671;OPTIMAL;INFEASIBLE
37;5;20;15932.99657;16322.99657;1.024477505;0.905822992;0.238266945;3.801714891;OPTIMAL;OPTIMAL
38;5;20;9028.528634;9028.528634;1;0.963028193;0.326705933;2.947691169;OPTIMAL;OPTIMAL
39;5;20;4337.254444;4337.254444;1;0.904614925;0.340282917;2.658420039;OPTIMAL;OPTIMAL
40;5;20;27845.05096;27845.05096;1;1.184098959;0.695500135;1.702514347;OPTIMAL;OPTIMAL
