iter;num_air;num_per;cost;time;status;method
49;5;15;13998.83481;0.829164982;OPTIMAL;Exact
50;5;15;6844.545128;0.543375015;OPTIMAL;Exact
51;5;15;14699.51735;0.63065505;OPTIMAL;Exact
52;5;15;7429.144457;0.828586102;OPTIMAL;Exact
53;5;15;31630.60038;1.393142939;OPTIMAL;Exact
54;5;15;10689.81152;0.48705101;OPTIMAL;Exact
55;5;15;20053.73525;1.291025162;OPTIMAL;Exact
56;5;15;9175.929806;0.712234974;OPTIMAL;Exact
57;5;15;54231.27943;2.354752064;OPTIMAL;Exact
58;5;15;13474.42517;0.930541039;OPTIMAL;Exact
59;5;15;20457.02467;0.827811003;OPTIMAL;Exact
60;5;15;12094.48119;0.640007973;OPTIMAL;Exact
61;5;15;9297.85881;0.605473042;OPTIMAL;Exact
62;5;15;7738.201971;0.597674131;OPTIMAL;Exact
63;5;15;38855.48216;0.828686953;OPTIMAL;Exact
64;5;15;16304.93896;0.638592005;OPTIMAL;Exact
65;5;15;12662.30269;1.006270885;OPTIMAL;Exact
66;5;15;12802.58265;0.872774124;OPTIMAL;Exact
67;5;15;30906.27141;6.401983023;OPTIMAL;Exact
68;5;15;14891.6101;0.790676117;OPTIMAL;Exact
69;5;15;8677.876762;0.645658016;OPTIMAL;Exact
70;5;15;12293.64629;0.845762968;OPTIMAL;Exact
71;5;15;34002.2903;1.583325863;OPTIMAL;Exact
72;5;15;12551.7056;0.595514059;OPTIMAL;Exact
73;5;15;10886.80392;0.589687824;OPTIMAL;Exact
74;5;15;19923.5546;1.070196152;OPTIMAL;Exact
75;5;15;13525.66142;0.5610919;OPTIMAL;Exact
76;5;15;10571.1209;0.485300064;OPTIMAL;Exact
77;5;15;12732.37756;0.581209183;OPTIMAL;Exact
78;5;15;10210.6648;0.790377855;OPTIMAL;Exact
79;5;15;10163.25294;0.894324064;OPTIMAL;Exact
80;5;15;18264.1672;0.646709919;OPTIMAL;Exact
81;5;15;12949.81564;1.658174038;OPTIMAL;Exact
82;5;15;16248.03;0.991447926;OPTIMAL;Exact
83;5;15;12176.27879;0.546544075;OPTIMAL;Exact
84;5;15;12695.59373;0.584330082;OPTIMAL;Exact
85;5;15;9753.000754;0.53320694;OPTIMAL;Exact
86;5;15;9686.643616;0.565257072;OPTIMAL;Exact
87;5;15;8148.822479;0.676506042;OPTIMAL;Exact
88;5;15;9681.80114;0.689836979;OPTIMAL;Exact
89;5;15;9475.879477;0.524739027;OPTIMAL;Exact
90;5;15;17194.30378;0.604687929;OPTIMAL;Exact
91;5;15;8376.39783;0.564509869;OPTIMAL;Exact
92;5;15;15490.72384;0.475564003;OPTIMAL;Exact
93;5;15;8483.512739;0.563210964;OPTIMAL;Exact
94;5;15;19364.13302;0.771835804;OPTIMAL;Exact
95;5;15;8251.265272;0.476938963;OPTIMAL;Exact
96;5;15;6726.185601;0.621532917;OPTIMAL;Exact
97;5;15;15277.36664;0.587966919;OPTIMAL;Exact
98;5;15;14657.76983;2.316190958;OPTIMAL;Exact
99;5;15;11628.33259;0.611521006;OPTIMAL;Exact
100;5;15;9623.495257;0.67839098;OPTIMAL;Exact
1;5;20;9988.638158;0.914935827;OPTIMAL;Exact
2;5;20;16629.3022;1.05340004;OPTIMAL;Exact
3;5;20;10871.79428;0.914978981;OPTIMAL;Exact
4;5;20;23443.83538;1.762628078;OPTIMAL;Exact
5;5;20;28076.43414;0.791759968;OPTIMAL;Exact
6;5;20;10103.93584;0.841102123;OPTIMAL;Exact
7;5;20;13911.99891;1.213782072;OPTIMAL;Exact
8;5;20;23233.85013;0.766562939;OPTIMAL;Exact
9;5;20;31719.86908;1.369017839;OPTIMAL;Exact
10;5;20;17110.92018;0.87341404;OPTIMAL;Exact
11;5;20;7522.271823;1.169574022;OPTIMAL;Exact
12;5;20;13595.6068;1.072880983;OPTIMAL;Exact
13;5;20;13331.13357;0.858515978;OPTIMAL;Exact
14;5;20;49567.85644;0.835664988;OPTIMAL;Exact
15;5;20;18471.18193;1.052250147;OPTIMAL;Exact
16;5;20;8514.678762;0.955326796;OPTIMAL;Exact
17;5;20;30942.7041;1.070457935;OPTIMAL;Exact
18;5;20;5688.014429;0.893176079;OPTIMAL;Exact
19;5;20;15826.73613;0.856688023;OPTIMAL;Exact
20;5;20;11491.84098;0.943766117;OPTIMAL;Exact
21;5;20;13940.0854;1.1358459;OPTIMAL;Exact
22;5;20;9421.168288;1.002840042;OPTIMAL;Exact
23;5;20;8714.018685;0.918031931;OPTIMAL;Exact
24;5;20;14642.19665;1.048628092;OPTIMAL;Exact
25;5;20;16543.01885;0.859579086;OPTIMAL;Exact
26;5;20;12956.87455;0.972403049;OPTIMAL;Exact
27;5;20;15141.95419;0.740154982;OPTIMAL;Exact
28;5;20;8453.986518;0.920271158;OPTIMAL;Exact
29;5;20;6775.131035;0.748682976;OPTIMAL;Exact
30;5;20;12294.67744;1.010751963;OPTIMAL;Exact
31;5;20;9473.929672;0.998358965;OPTIMAL;Exact
32;5;20;10282.78525;0.967323065;OPTIMAL;Exact
33;5;20;8222.553916;0.916666031;OPTIMAL;Exact
34;5;20;7745.567714;0.919757843;OPTIMAL;Exact
35;5;20;6644.898502;0.819941998;OPTIMAL;Exact
36;5;20;33732.39259;2.004889011;OPTIMAL;Exact
37;5;20;15932.99657;0.905822992;OPTIMAL;Exact
38;5;20;9028.528634;0.963028193;OPTIMAL;Exact
39;5;20;4337.254444;0.904614925;OPTIMAL;Exact
40;5;20;27845.05096;1.184098959;OPTIMAL;Exact
41;5;20;17969.62935;1.11726594;OPTIMAL;Exact
42;5;20;17434.53023;0.836668015;OPTIMAL;Exact
43;5;20;18011.33535;0.914280891;OPTIMAL;Exact
44;5;20;17400.70804;1.100506067;OPTIMAL;Exact
45;5;20;10240.1134;0.804633856;OPTIMAL;Exact
46;5;20;12148.14087;1.322860003;OPTIMAL;Exact
